,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33153,1725579,0001725579-18-000008,us-gaap:AssetsCurrent,usd,2018-08-01,10-Q,71621000,xbrl
33154,1725579,0001725579-18-000008,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2018-08-01,10-Q,40212000,xbrl
33155,1725579,0001725579-18-000008,us-gaap:GeneralAndAdministrativeExpense,usd,2018-08-01,10-Q,9412000,xbrl
33156,1725579,0001725579-18-000008,us-gaap:GrossProfit,usd,2018-08-01,10-Q,72440000,xbrl
33157,1725579,0001725579-18-000008,us-gaap:Liabilities,usd,2018-08-01,10-Q,275731000,xbrl
33158,1725579,0001725579-18-000008,us-gaap:LiabilitiesCurrent,usd,2018-08-01,10-Q,161518000,xbrl
33159,1725579,0001725579-18-000008,us-gaap:LongTermDebt,usd,2018-08-01,10-Q,116037000,xbrl
33160,1725579,0001725579-18-000008,us-gaap:NetIncomeLoss,usd,2018-08-01,10-Q,-54248000,xbrl
33161,1725579,0001725579-18-000008,us-gaap:OperatingExpenses,usd,2018-08-01,10-Q,78054000,xbrl
33162,1725579,0001725579-18-000008,us-gaap:OperatingIncomeLoss,usd,2018-08-01,10-Q,-56518000,xbrl
33163,1725579,0001725579-18-000008,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2018-08-01,10-Q,4574000,xbrl
33164,1725579,0001725579-18-000008,us-gaap:Revenues,usd,2018-08-01,10-Q,9528000,xbrl
33165,1725579,0001725579-18-000021,us-gaap:AssetsCurrent,usd,2018-10-24,10-Q,71621000,xbrl
33166,1725579,0001725579-18-000021,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2018-10-24,10-Q,31492000,xbrl
33167,1725579,0001725579-18-000021,us-gaap:GeneralAndAdministrativeExpense,usd,2018-10-24,10-Q,48138000,xbrl
33168,1725579,0001725579-18-000021,us-gaap:GrossProfit,usd,2018-10-24,10-Q,83738000,xbrl
